id,characteristic_id,review_id,value
1,1,1,4
2,2,1,3
3,3,1,5
4,4,1,4
5,1,2,4
6,2,2,4
7,3,2,5
8,4,2,4
9,5,3,4
10,5,4,5
11,5,5,5
12,5,6,3
13,5,7,4
14,10,8,2
15,11,8,3
16,12,8,2
17,13,8,1
18,10,9,4
19,11,9,3
19327548,3347676,5774946,4
19327549,3347677,5774946,2
19327550,3347678,5774946,3
19327551,3347679,5774946,2
19327552,3347676,5774947,3
19327553,3347677,5774947,5
19327554,3347678,5774947,1
19327555,3347679,5774947,2
19327556,3347676,5774948,2
19327557,3347677,5774948,2
19327558,3347678,5774948,4
19327559,3347679,5774948,4
19327560,3347676,5774949,1
19327561,3347677,5774949,5
19327562,3347678,5774949,3
19327563,3347679,5774949,1
19327564,3347676,5774950,4
19327565,3347677,5774950,1
19327566,3347678,5774950,2
19327567,3347679,5774950,1
19327568,3347676,5774951,4
19327569,3347677,5774951,4
19327570,3347678,5774951,2
19327571,3347679,5774951,3
19327572,3347676,5774952,2
19327573,3347677,5774952,1
19327574,3347678,5774952,5
19327575,3347679,5774952,5